Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
91,3,6,11,6
91,4,6,11,6
91,5,6,11,6
91,6,6,11,6
91,7,6,11,6
91,8,6,11,6
91,9,6,11,6
91,10,6,11,6
92,1,24,33,10
92,2,24,33,10
92,3,24,33,10
92,4,24,33,10
92,5,24,33,10
92,6,24,33,10
92,7,24,33,10
92,8,24,33,10
92,9,24,33,10
92,10,24,33,10
93,1,8,14,16
93,2,8,14,16
93,3,8,14,16
93,4,8,14,16
93,5,8,14,16
93,6,8,14,16
93,7,8,14,16
93,8,8,14,16
93,9,8,14,16
93,10,8,14,16
94,1,0,0,1
94,2,0,0,1
94,3,0,0,1
94,4,0,0,1
94,5,0,0,1
94,6,0,0,1
94,7,0,0,1
94,8,0,0,1
94,9,0,0,1
94,10,0,0,1
95,1,23,86,12096
95,2,23,86,12096
95,3,23,86,12096
95,4,23,86,12096
95,5,23,86,12096
95,6,23,86,12096
95,7,23,86,12096
95,8,23,86,12096
95,9,23,86,12096
95,10,23,86,12096
96,1,12,12,1
96,2,12,12,1
96,3,12,12,1
96,4,12,12,1
96,5,12,12,1
96,6,12,12,1
96,7,12,12,1
96,8,12,12,1
96,9,12,12,1
96,10,12,12,1
97,1,0,0,1
97,2,0,0,1
97,3,0,0,1
97,4,0,0,1
97,5,0,0,1
97,6,0,0,1
97,7,0,0,1
97,8,0,0,1
97,9,0,0,1
97,10,0,0,1
98,1,14,15,2
98,2,14,15,2
98,3,14,15,2
98,4,14,15,2
98,5,14,15,2
98,6,14,15,2
98,7,14,15,2
98,8,14,15,2
98,9,14,15,2
98,10,14,15,2
99,1,24,38,64
99,2,24,38,64
99,3,24,38,64
99,4,24,38,64
99,5,24,38,64
99,6,24,38,64
99,7,24,38,64
99,8,24,38,64
99,9,24,38,64
99,10,24,38,64
