Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
92,5,20,26,3
92,6,20,26,3
92,7,20,26,3
92,8,20,26,3
92,9,20,26,3
92,10,20,26,3
93,1,22,41,544
93,2,22,41,544
93,3,22,41,544
93,4,22,41,544
93,5,22,41,544
93,6,22,41,544
93,7,22,41,544
93,8,22,41,544
93,9,22,41,544
93,10,22,41,544
94,1,29,79,2814
94,2,29,79,2814
94,3,29,79,2814
94,4,29,79,2814
94,5,29,79,2814
94,6,29,79,2814
94,7,29,79,2814
94,8,29,79,2814
94,9,29,79,2814
94,10,29,79,2814
95,1,11,31,60
95,2,11,31,60
95,3,11,31,60
95,4,11,31,60
95,5,11,31,60
95,6,11,31,60
95,7,11,31,60
95,8,11,31,60
95,9,11,31,60
95,10,11,31,60
96,1,16,34,188
96,2,16,34,188
96,3,16,34,188
96,4,16,34,188
96,5,16,34,188
96,6,16,34,188
96,7,16,34,188
96,8,16,34,188
96,9,16,34,188
96,10,16,34,188
97,1,18,33,216
97,2,18,33,216
97,3,18,33,216
97,4,18,33,216
97,5,18,33,216
97,6,18,33,216
97,7,18,33,216
97,8,18,33,216
97,9,18,33,216
97,10,18,33,216
98,1,12,15,4
98,2,12,15,4
98,3,12,15,4
98,4,12,15,4
98,5,12,15,4
98,6,12,15,4
98,7,12,15,4
98,8,12,15,4
98,9,12,15,4
98,10,12,15,4
99,1,NA,NA,NA
