Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
95,8,14,22,24
95,9,14,22,24
95,10,14,22,24
96,1,6,6,1
96,2,6,6,1
96,3,6,6,1
96,4,6,6,1
96,5,6,6,1
96,6,6,6,1
96,7,6,6,1
96,8,6,6,1
96,9,6,6,1
96,10,6,6,1
97,1,38,41,4
97,2,38,41,4
97,3,38,41,4
97,4,38,41,4
97,5,38,41,4
97,6,38,41,4
97,7,38,41,4
97,8,38,41,4
97,9,38,41,4
97,10,38,41,4
98,1,47,77,448
98,2,47,77,448
98,3,47,77,448
98,4,47,77,448
98,5,47,77,448
98,6,47,77,448
98,7,47,77,448
98,8,47,77,448
98,9,47,77,448
98,10,47,77,448
99,1,13,51,560
99,2,13,51,560
99,3,13,51,560
99,4,13,51,560
99,5,13,51,560
99,6,13,51,560
99,7,13,51,560
99,8,13,51,560
99,9,13,51,560
99,10,13,51,560
